"name","longitude","latitude","prov","date","key"
"Bradypus variegatus",-76.440224,-0.524075,"gbif",2017-12-14,1805899757
"Bradypus variegatus",-63.659882,-17.460794,"gbif",2016-01-22,1249297478
"Bradypus variegatus",-85.615082,11.22151,"gbif",2016-01-10,1584422272
"Bradypus variegatus",-73.424,-4.481056,"gbif",2016-03-22,1836691811
"Bradypus variegatus",-76.181111,9.386944,"gbif",2016-05-26,1891353912
"Bradypus variegatus",-79.952845,8.713723,"gbif",2016-06-08,1453490023
"Bradypus variegatus",-79.715328,9.128487,"gbif",2016-06-05,1453468773
"Bradypus variegatus",-72.849832,-3.44345,"gbif",2016-07-07,1836679293
"Bradypus variegatus",-84.510027,10.36583,"gbif",2016-12-07,1453269550
"Bradypus variegatus",-83.366307,8.33963,"gbif",2015-01-05,1306572497
"Bradypus variegatus",-80.121617,8.621926,"gbif",2015-02-15,1453114302
"Bradypus variegatus",-73.0471,4.18351,"gbif",2015-02-25,1846726494
"Bradypus variegatus",-69.192392,-10.705993,"gbif",2015-02-26,1847447713
"Bradypus variegatus",-83.711057,9.158875,"gbif",2015-05-14,1500214320
"Bradypus variegatus",-34.932233,-7.925237,"gbif",2015-08-22,1836693139
"Bradypus variegatus",-78.21697,8.075843,"gbif",2015-10-06,1227744196
"Bradypus variegatus",-43.406298,-23.00829,"gbif",2015-10-28,1291069295
"Bradypus variegatus",-76.867139,-2.530606,"gbif",2015-11-26,1677303184
"Bradypus variegatus",-43.0006,-22.4942,"gbif",2015-12-17,1677316834
"Bradypus variegatus",-54.954642,-2.504264,"gbif",2015-12-24,1932310569
"Bradypus variegatus",-42.7364,-22.4063,"gbif",2015-12-22,1677324055
"Bradypus variegatus",-83.596245,9.846656,"gbif",2014-01-05,1898845144
"Bradypus variegatus",-76.81268,8.57522,"gbif",2014-05-16,1270713681
"Bradypus variegatus",-77.12513,8.35975,"gbif",2014-05-30,1270713687
"Bradypus variegatus",-83.366479,10.058119,"gbif",2014-05-07,910494515
"Bradypus variegatus",-83.974425,10.1599,"gbif",2014-06-28,1584399713
"Bradypus variegatus",-83.590018,8.473333,"gbif",2014-07-18,1883554829
"Bradypus variegatus",-76.369042,3.960656,"gbif",2014-08-20,1639428338
"Bradypus variegatus",-76.200167,3.825078,"gbif",2014-08-01,1639428331
"Bradypus variegatus",-76.548636,3.843453,"gbif",2014-09-05,1639428337
"Bradypus variegatus",-69.196111,-12.590833,"gbif",2014-10-10,1913125698
"Bradypus variegatus",-65.330648,-2.549277,"gbif",2014-10-22,1914244072
"Bradypus variegatus",-74.16896,10.46258,"gbif",2014-11-29,1846726199
"Bradypus variegatus",-64.845653,-3.057511,"gbif",2014-11-17,1836694774
"Bradypus variegatus",-76.100253,4.716333,"gbif",2014-11-01,1639428339
"Bradypus variegatus",-59.987812,-3.09744,"gbif",2014-12-18,1841286586
"Bradypus variegatus",-84.486626,10.61932,"gbif",2014-12-31,1579870236
"Bradypus variegatus",-70.26168,-3.818924,"gbif",2013-01-15,1933578873
"Bradypus variegatus",-65.310577,-13.72676,"gbif",2013-02-06,1914203429
"Bradypus variegatus",-84.138237,9.402069,"gbif",2013-03-26,899939705
"Bradypus variegatus",-66.100495,-11.019057,"gbif",2013-03-13,1699375532
"Bradypus variegatus",-68.254486,10.282892,"gbif",2013-04-19,1579869314
"Bradypus variegatus",-85.153122,9.672495,"gbif",2013-07-10,1847565994
"Bradypus variegatus",-77.122222,7.437778,"gbif",2013-08-01,1671689096
"Bradypus variegatus",-40.065264,-19.394665,"gbif",2013-10-04,1836691746
"Bradypus variegatus",-83.873967,9.263033,"gbif",2013-11-27,899959963
"Bradypus variegatus",-67.86382,-9.954971,"gbif",2013-12-16,1838041389
"Bradypus variegatus",-60.076763,-2.936506,"gbif",2012-02-02,920766901
"Bradypus variegatus",-45.2196,-23.526195,"gbif",2012-03-24,1932323605
"Bradypus variegatus",-74.104156,-5.296433,"gbif",2012-04-01,1584404481
"Bradypus variegatus",-83.465881,10.209517,"gbif",2012-08-31,920767620
"Bradypus variegatus",-76.392017,8.2551,"gbif",2012-11-17,891110930
"Bradypus variegatus",-85.514146,10.957811,"gbif",2011-02-04,1668832632
"Bradypus variegatus",-80.141945,-0.087776,"gbif",2011-03-20,1453429695
"Bradypus variegatus",-84.82551,10.274968,"gbif",2011-05-15,1891313844
"Bradypus variegatus",-78.199742,2.938964,"gbif",2011-06-13,919142565
"Bradypus variegatus",-77.356667,3.906667,"gbif",2011-07-10,919142992
"Bradypus variegatus",-45.42303,-23.826873,"gbif",2011-08-23,1806331686
"Bradypus variegatus",-83.70658,8.687444,"gbif",2010-01-05,1802795741
"Bradypus variegatus",-73.721298,-4.576427,"gbif",2010-03-21,1836692985
"Bradypus variegatus",-84.005556,10.455556,"gbif",2010-08-09,891715625
"Bradypus variegatus",-79.864211,9.393983,"gbif",2010-08-19,1249297183
"Bradypus variegatus",-63.170317,-17.744943,"gbif",2010-12-18,899936597
"Bradypus variegatus",-78.15,8.25,"gbif",2009-03-18,1807324871
"Bradypus variegatus",-84.270714,10.45124,"gbif",2009-04-04,1584438045
